parameter,newspaper,title,date,date_policy,search_,type_newspaper
multas coronavirus, https://azdiario.mx/?p=95968, Yucatán: Reanudarán labores el lunes en ramas aeroespacial y automotriz, 2020-05-14T16:28:01,,1, wordpress
multas coronavirus, https://azdiario.mx/?p=95676, GRAN BRETAÑA SE TOMA UN &#8216;PEQUEÑO RELAJAMIENTO&#8217; EN LAS MEDIDAS ANTE EL COVID-19, 2020-05-11T15:04:10,,                          azdiario.mx-?p=95676, wordpress
multas coronavirus, https://azdiario.mx/?p=95517, Sonora: Largas filas para comprar cerveza, 2020-05-07T03:00:49,,                          azdiario.mx-?p=95517, wordpress
multas coronavirus, https://azdiario.mx/?p=94373, A partir demañana Hoy No Circula obligatorio en Edomex, 2020-04-22T15:38:38,,                          azdiario.mx-?p=94373, wordpress
multas coronavirus, https://azdiario.mx/?p=94220, Aislamiento obligatorio por decreto en Michoacán, 2020-04-21T15:28:06,,1, wordpress
multas coronavirus, https://azdiario.mx/?p=93837, DESCARTAN EN CDMX SANCIONAR A QUIENES IGNOREN CUARENTENA, 2020-04-14T01:57:26,,0, wordpress
multas coronavirus, https://amqueretaro.com/?p=788814, Canadá y Estados Unidos cierran sus puertas hasta el 21 de junio, 2020-05-19T10:39:51,,                          amqueretaro.com-?p=788814, wordpress
multas coronavirus, https://amqueretaro.com/?p=788157, Frenar producción de cervezas fue un “gravísimo error”: Profeco, 2020-05-15T13:33:15,,                          amqueretaro.com-?p=788157, wordpress
multas coronavirus, https://amqueretaro.com/?p=786897, Capital chilena tiene ocupado 85 por ciento del cuidado intensivo, 2020-05-12T05:00:14,,                          amqueretaro.com-?p=786897, wordpress
multas coronavirus, https://amqueretaro.com/?p=786680, Gran Bretaña anuncia leve relajamiento de restricciones, 2020-05-11T05:00:29,,                          amqueretaro.com-?p=786680, wordpress
multas coronavirus, https://amqueretaro.com/?p=785995, Medidas en San Juan del Río contienen al COVID-19, 2020-05-07T14:41:20,,                          amqueretaro.com-?p=785995, wordpress
multas coronavirus, https://amqueretaro.com/?p=785935, Hawai arresta a turistas empeñados en ignorar cuarentena, 2020-05-07T11:05:35,,                          amqueretaro.com-?p=785935, wordpress
multas coronavirus, https://amqueretaro.com/?p=784558, ‘La vida sigue’: Suecia y su forma de enfrentar el virus sin cuarentena, 2020-05-01T05:00:51,,                          amqueretaro.com-?p=784558, wordpress
multas coronavirus, https://amqueretaro.com/?p=783966, ¡Por aquí no se puede joven! Restringen el paso en 340 municipios, 2020-04-28T20:04:18,,1, wordpress
multas coronavirus, https://amqueretaro.com/?p=783892, Infonavit implementa medidas de apoyo para empleadores formales, 2020-04-28T14:20:28,,                          amqueretaro.com-?p=783892, wordpress
multas coronavirus, https://amqueretaro.com/?p=782800, Restaurante mexicano en EUA paga multa de 25 millones de dólares, 2020-04-23T16:21:07,,                          amqueretaro.com-?p=782800, wordpress
multas coronavirus, https://amqueretaro.com/?p=780973, Plan de Bundesliga de reanudar partidos en mayo está en peligro, 2020-04-16T14:01:49,,                          amqueretaro.com-?p=780973, wordpress
multas coronavirus, https://amqueretaro.com/?p=780703, Aplican tres municipios de NL toque de queda; analizan hacerlo estatal, 2020-04-15T10:42:17,,                          amqueretaro.com-?p=780703, wordpress
multas coronavirus, https://amqueretaro.com/?p=780185, Los cristianos celebran una Pascua como ninguna otra, 2020-04-12T18:58:08,,                          amqueretaro.com-?p=780185, wordpress
multas coronavirus, https://amqueretaro.com/?p=779333, Ofrece créditos “a la palabra” y cobra a empresarios, 2020-04-08T10:07:11,,                          amqueretaro.com-?p=779333, wordpress
multas coronavirus, https://amqueretaro.com/?p=778648, Ante COVID-19 quedarse en casa es un lujo, 2020-04-05T07:54:06,,                          amqueretaro.com-?p=778648, wordpress
multas coronavirus, https://amqueretaro.com/?p=778608, En Québec las multas son de mil dólares por incumplir sana distancia, 2020-04-04T15:59:06,,                          amqueretaro.com-?p=778608, wordpress
multas coronavirus, https://amqueretaro.com/?p=778090, Medidas estrictas que llevan a una cuarentena indefinida, 2020-04-02T05:00:40,,                          amqueretaro.com-?p=778090, wordpress
multas coronavirus, https://amqueretaro.com/?p=776915, Amplían plazo hasta septiembre para renovación de licencias de funcionamiento, 2020-03-26T13:13:31,,                          amqueretaro.com-?p=776915, wordpress
multas coronavirus, https://amqueretaro.com/?p=776305, Exhortan a comprar en mercados y comercios pequeños, 2020-03-23T05:00:00,,                          amqueretaro.com-?p=776305, wordpress
multas coronavirus, https://amqueretaro.com/?p=776211, Coronavirus confina a mil millones de personas en el mundo, 2020-03-22T13:10:58,,                          amqueretaro.com-?p=776211, wordpress
multas coronavirus, https://amqueretaro.com/?p=776056, España registra casi 5.000 nuevos casos de coronavirus en un día, 2020-03-21T09:46:28,,                          amqueretaro.com-?p=776056, wordpress
multas coronavirus, https://amqueretaro.com/?p=775615, Multarán a quienes no acaten medidas de prevención, 2020-03-18T05:00:07,,1, wordpress
multas coronavirus, https://amqueretaro.com/?p=768954, China trata de mantener alimentadas a ciudades aisladas, 2020-02-09T08:25:26,,                          amqueretaro.com-?p=768954, wordpress
multas coronavirus, https://www.acontecerperiodico.com/?p=7203, Cierran sus cortinas de manera voluntaria 20 comercios no esenciales en Ecatepec, 2020-05-19T21:25:28,,                          acontecerperiodico.com-?p=7203, wordpress